chr	start	end	bin	01_CN	01_CT	02_CN	02_CT	02_LN	02_LT	03_CN	03_CT	03_LT	03_NT	04_CN	04_CT	04_LT	05_CN	05_CT	05_LT	06_CT	07_CT	10_CN	10_CT	14_CN	14_CT	14_LT
1	1290001	1330000	35	1	1	0	0	1	0	1	0	0	0	0	1	1	0	1	0	0	0	1	0	1	1	1
1	2030001	2070000	54	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	2540001	2580000	66	1	0	1	1	1	1	0	1	1	1	1	0	1	1	0	1	1	0	1	1	1	1	1
1	3585001	3625000	92	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1
1	4070001	4110000	104	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	4720001	4760000	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
1	5600001	5640000	143	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0
1	6020001	6060000	153	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	6650001	6690000	169	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1
1	7290001	7330000	185	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	1	1
1	7900001	7940000	200	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	8440001	8480000	214	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	9095001	9135000	230	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	9630001	9670000	243	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	0	1
1	9940001	9980000	251	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	1	1	0
1	10260001	10300000	259	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
1	10570001	10610000	267	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	11215001	11255000	283	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	12010001	12050000	303	0	1	0	1	0	1	0	1	0	0	1	1	0	1	1	1	1	1	1	1	0	1	1
1	12330001	12370000	311	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	0	1
1	12975001	13015000	327	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	13505001	13545000	341	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1
1	13880001	13920000	350	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	14405001	14445000	363	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	0	1	1	1	1	0	0
1	15747501	15787500	396	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	16450001	16490000	414	0	1	0	0	0	0	0	1	1	0	1	0	0	1	1	0	1	1	1	0	0	1	0
1	16850001	16890000	424	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	17500001	17540000	440	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	17910001	17950000	451	0	1	1	1	1	1	0	0	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1
1	19375001	19415000	487	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	20140001	20180000	506	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	20530001	20570000	516	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	1	1	1	1
1	20990001	21030000	527	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	21570001	21610000	542	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1
1	21960001	22000000	552	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	22500001	22540000	565	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
